timestamp,latitude,longitude,altitude,imu_acc_x,imu_acc_y,imu_acc_z,imu_gyro_x,imu_gyro_y,imu_gyro_z,lidar_distance,speed,wind_speed,battery_level,obstacle_detected,highlight
0.0,39.9000,116.4000,50,0.12,0.08,9.81,0.05,-0.02,0.03,150.2,12.0,5.0,95,0,0
0.1,39.9003,116.4004,52,0.11,0.09,9.79,0.04,-0.01,0.02,145.5,12.2,5.1,94,0,0
0.2,39.9005,116.4008,30,0.13,0.07,9.82,0.06,-0.03,0.04,8.5,11.8,5.2,94,1,1
0.3,39.9008,116.4012,35,0.10,0.10,9.80,0.03,-0.02,0.03,10.2,11.9,5.0,93,1,1
0.4,39.9010,116.4016,40,0.14,0.06,9.81,0.05,-0.01,0.05,15.7,12.1,4.9,93,1,1
0.5,39.9013,116.4020,45,0.12,0.08,9.82,0.04,0.00,0.02,155.3,12.3,5.3,92,0,0
0.6,39.9015,116.4024,55,0.11,0.09,9.79,0.05,-0.02,0.04,148.1,12.0,5.1,92,0,0
0.7,39.9018,116.4028,25,0.13,0.07,9.81,0.06,-0.03,0.03,7.8,11.7,4.8,91,1,1
0.8,39.9020,116.4032,30,0.10,0.10,9.80,0.03,-0.01,0.05,9.5,11.8,5.0,91,1,1
0.9,39.9023,116.4036,35,0.14,0.06,9.82,0.05,-0.02,0.04,14.2,12.2,5.2,90,1,1
1.0,39.9025,116.4040,60,0.12,0.08,9.81,0.04,-0.02,0.03,149.0,12.1,5.0,90,0,0
1.1,39.9028,116.4044,65,0.11,0.09,9.79,0.05,-0.01,0.04,142.5,12.3,5.1,89,0,0
1.2,39.9030,116.4048,40,0.13,0.07,9.82,0.06,-0.03,0.04,6.2,11.8,5.2,89,1,1
1.3,39.9033,116.4052,45,0.10,0.10,9.80,0.03,-0.02,0.03,8.9,11.9,5.0,88,1,1
1.4,39.9035,116.4056,50,0.14,0.06,9.81,0.05,-0.01,0.05,13.5,12.1,4.9,88,1,1
1.5,39.9038,116.4060,70,0.12,0.08,9.82,0.04,0.00,0.02,152.7,12.3,5.3,87,0,0
1.6,39.9040,116.4064,75,0.11,0.09,9.79,0.05,-0.02,0.04,146.2,12.0,5.1,87,0,0
1.7,39.9043,116.4068,35,0.13,0.07,9.81,0.06,-0.03,0.03,5.5,11.7,4.8,86,1,1
1.8,39.9045,116.4072,40,0.10,0.10,9.80,0.03,-0.01,0.05,7.8,11.8,5.0,86,1,1
1.9,39.9048,116.4076,45,0.14,0.06,9.82,0.05,-0.02,0.04,12.5,12.2,5.2,85,1,1
2.0,39.9050,116.4080,80,0.12,0.08,9.81,0.04,-0.02,0.03,147.9,12.1,5.0,85,0,0
2.1,39.9053,116.4084,85,0.11,0.09,9.79,0.05,-0.01,0.04,141.3,12.3,5.1,84,0,0
2.2,39.9055,116.4088,30,0.13,0.07,9.82,0.06,-0.03,0.04,4.8,11.8,5.2,84,1,1
2.3,39.9058,116.4092,35,0.10,0.10,9.80,0.03,-0.02,0.03,6.7,11.9,5.0,83,1,1
2.4,39.9060,116.4096,40,0.14,0.06,9.81,0.05,-0.01,0.05,11.2,12.1,4.9,83,1,1
2.5,39.9063,116.4100,90,0.12,0.08,9.82,0.04,0.00,0.02,150.5,12.3,5.3,82,0,0
2.6,39.9065,116.4104,95,0.11,0.09,9.79,0.05,-0.02,0.04,144.1,12.0,5.1,82,0,0
2.7,39.9068,116.4108,25,0.13,0.07,9.81,0.06,-0.03,0.03,3.9,11.7,4.8,81,1,1
2.8,39.9070,116.4112,30,0.10,0.10,9.80,0.03,-0.01,0.05,5.8,11.8,5.0,81,1,1
2.9,39.9073,116.4116,35,0.14,0.06,9.82,0.05,-0.02,0.04,10.5,12.2,5.2,80,1,1
3.0,39.9075,116.4120,100,0.12,0.08,9.81,0.04,-0.02,0.03,145.8,12.1,5.0,80,0,0
3.1,39.9078,116.4124,105,0.11,0.09,9.79,0.05,-0.01,0.04,139.2,12.3,5.1,79,0,0
3.2,39.9080,116.4128,20,0.13,0.07,9.82,0.06,-0.03,0.04,3.2,11.8,5.2,79,1,1
3.3,39.9083,116.4132,25,0.10,0.10,9.80,0.03,-0.02,0.03,4.9,11.9,5.0,78,1,1
3.4,39.9085,116.4136,30,0.14,0.06,9.81,0.05,-0.01,0.05,9.8,12.1,4.9,78,1,1
3.5,39.9088,116.4140,110,0.12,0.08,9.82,0.04,0.00,0.02,148.3,12.3,5.3,77,0,0
3.6,39.9090,116.4144,115,0.11,0.09,9.79,0.05,-0.02,0.04,141.8,12.0,5.1,77,0,0
3.7,39.9093,116.4148,15,0.13,0.07,9.81,0.06,-0.03,0.03,2.5,11.7,4.8,76,1,1
3.8,39.9095,116.4152,20,0.10,0.10,9.80,0.03,-0.01,0.05,4.2,11.8,5.0,76,1,1
